395976.3141021949,398644.1410498264
395977.2484360351,398644.4964484004
395978.1817798002,398644.8540503912
395979.1139340143,398645.2139566227
395980.0458986610,398645.5762627101
395980.9765737988,398645.9408734702
395981.9063588195,398646.3076872128
395982.8352541547,398646.6768038914
395983.7629590745,398647.0480248925
395984.6903753344,398647.4218460990
395985.6165012270,398647.7977720670
395986.5417374272,398648.1760009750
395987.4660835131,398648.5564328590
395988.3892396143,398648.9390690267
395989.3120058087,398649.3240059584
395990.2334824944,398649.7112475654
395991.1540686321,398650.1005921916
395992.0737646519,398650.4921397998
395992.9922698278,398650.8856917705
395993.9103859557,398651.2817444248
395994.8272112837,398651.6798018802
395995.7431460614,398652.0799623571
395996.6581902945,398652.4822258517
395997.5720432515,398652.8863937506
395998.4856062531,398653.2928619859
395999.3978780237,398653.7012350643
396000.3092592486,398654.1117111571
396001.2198490172,398654.5240899262
396002.1291458313,398654.9379736994
396003.0384529904,398655.3542564640
396003.9463681001,398655.7722445814
396004.8534913237,398656.1920354171
396005.7598222341,398656.6135290032
396006.6650596664,398657.0364267761
396007.5703061521,398657.4614236563
396008.4742592519,398657.8878255892
396009.3775199925,398658.3159298421
396010.2800870772,398658.7454365372
396011.1816597828,398659.1761470682
396012.0832398146,398659.6085568802
396012.9838258979,398660.0422704790
396013.8837183290,398660.4773865207
396014.7830161983,398660.9137046614
396015.6814179192,398661.3508263668
396016.5801264033,398661.7895460936
396017.4777396885,398662.2292701651
396018.3748579405,398662.6700959405
396019.2714802941,398663.1118235061
396020.1673055937,398663.5541542820
396021.0635363177,398663.9977827728
396021.9588713228,398664.4423147887
396022.8537095724,398664.8875486673
396023.7482514035,398665.3335835120
396024.6420944126,398665.7798213017
396025.5364423711,398666.2272564131
396026.4300927979,398666.6751943449
396027.3233455592,398667.1236338012
396028.2164005686,398667.5725739015
396029.1089562337,398668.0216161273
396030.0020151265,398668.4714558414
396030.8944755816,398668.9215980271
396031.7868378056,398669.3721404710
396032.6790005530,398669.8227837355
396033.5707630501,398670.2733287744
396034.4632273951,398670.7243705494
396035.3552919180,398671.1754140583
396036.2471569617,398671.6265583902
396037.1391219689,398672.0777022724
396038.0307849527,398672.5283476694
396038.9233492637,398672.9793889817
